"RECORD_NO"	"SITE_NO"	"STATION_NM"	"SAMPLE_START_DT"	"MEDIUM_CD"	"PROJECT_CD"	"RA_Metals"	"FA_Metals"	"Iron"	"Anions"	"Alkalinity"	"Isotopes"	"Field"	"Q"
"1"	"01305819"	"391504106225200"	"DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE"	2013-05-30 12:30:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"2"	"01305820"	"391559106230901"	"SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP"	2013-05-30 14:00:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"3"	"01305821"	"391600106235701"	"TLS-05 TURQUOISE LAKE SOUTH 5"	2013-05-30 14:30:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"4"	"01305822"	"391606106241601"	"SC00908113ADB TL-ADIT"	2013-05-30 15:45:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"5"	"01305823"	"391517106223801"	"BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA"	2013-05-30 17:30:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"6"	"01305824"	"391501106225001"	"SLGS-09 SUGARLOAF GULCH SEEP 9 PIPE NR DINERO, CO"	2013-05-31 09:20:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"7"	"01305825"	"391504106225201"	"LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D"	2013-05-31 09:50:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"8"	"01305826"	"391512106230001"	"SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3"	2013-05-31 10:45:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"9"	"01305827"	"391517106230601"	"SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5"	2013-05-31 11:30:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"10"	"01305828"	"391517106230602"	"LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO"	2013-05-31 12:00:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
