SITE_NO	STATION_NM	SAMPLE_START_DT	SAMPLE_END_DT	MEDIUM_CD	RECORD_NO	sum_cat	sum_an	perc.diff	complete.chem	Alk	Bicarb	Ca	Cl	Fe	K	Mg	Mn	Na	SO4	flags
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2002-11-13 10:00:00	NA	WG 	00306511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2003-05-16 14:05:00	NA	WG 	00306512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2003-06-19 12:45:00	NA	WG 	00306513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2003-08-12 12:55:00	NA	WG 	00306514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2002-11-13 09:20:00	NA	WG 	00306515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2003-05-16 13:50:00	NA	WG 	00306516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2003-06-19 12:35:00	NA	WG 	00306517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2003-08-12 12:40:00	NA	WG 	00306518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2003-06-19 12:10:00	NA	WG 	00306523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2003-05-16 13:10:00	NA	WS 	00306528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2003-06-19 11:30:00	NA	WS 	00306529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2002-11-12 11:45:00	NA	WS 	00306530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2003-03-13 10:40:00	NA	WS 	00306531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2003-05-16 12:20:00	NA	WS 	00306532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
